Sample	Davis_ID	fastq
Donor_3_AAVS1_5	AMCD51	Project_AMJW_L8_Tag0014P_Woo/AMCD51_UMI_S164_L008_R1_001.fastq.gz
Donor_3_FOXP1	AMCD52	Project_AMJW_L8_Tag0014P_Woo/AMCD52_UMI_S165_L008_R1_001.fastq.gz
Donor_3_IL2RA	AMCD53	Project_AMJW_L8_Tag0014P_Woo/AMCD53_UMI_S166_L008_R1_001.fastq.gz
Donor_3_AAVS1_3	AMCD54	Project_AMJW_L8_Tag0014P_Woo/AMCD54_UMI_S167_L008_R1_001.fastq.gz
Donor_3_JAK3	AMCD55	Project_AMJW_L8_Tag0014P_Woo/AMCD55_UMI_S168_L008_R1_001.fastq.gz
Donor_3_IRF1	AMCD56	Project_AMJW_L8_Tag0014P_Woo/AMCD56_UMI_S169_L008_R1_001.fastq.gz
Donor_3_MED12	AMCD57	Project_AMJW_L8_Tag0014P_Woo/AMCD57_UMI_S170_L008_R1_001.fastq.gz
Donor_3_KMT2A	AMCD58	Project_AMJW_L8_Tag0014P_Woo/AMCD58_UMI_S171_L008_R1_001.fastq.gz
Donor_3_AAVS1_1	AMCD59	Project_AMJW_L8_Tag0014P_Woo/AMCD59_UMI_S172_L008_R1_001.fastq.gz
Donor_1_ZNF217	AMCD6	Project_AMJW_L8_Tag0014P_Woo/AMCD6_UMI_S119_L008_R1_001.fastq.gz
Donor_3_MBD2	AMCD60	Project_AMJW_L8_Tag0014P_Woo/AMCD60_UMI_S173_L008_R1_001.fastq.gz
Donor_3_ATXN7L3	AMCD61	Project_AMJW_L8_Tag0014P_Woo/AMCD61_UMI_S174_L008_R1_001.fastq.gz
Donor_3_ETS1	AMCD62	Project_AMJW_L8_Tag0014P_Woo/AMCD62_UMI_S175_L008_R1_001.fastq.gz
Donor_3_IRF4	AMCD63	Project_AMJW_L8_Tag0014P_Woo/AMCD63_UMI_S176_L008_R1_001.fastq.gz
Donor_3_CBFB	AMCD64	Project_AMJW_L8_Tag0014P_Woo/AMCD64_UMI_S177_L008_R1_001.fastq.gz
Donor_4_AAVS1_4	AMCD65	Project_AMJW_L8_Tag0014P_Woo/AMCD65_UMI_S178_L008_R1_001.fastq.gz
Donor_4_RELA	AMCD66	Project_AMJW_L8_Tag0014P_Woo/AMCD66_UMI_S179_L008_R1_001.fastq.gz
Donor_4_AAVS1_2	AMCD67	Project_AMJW_L8_Tag0014P_Woo/AMCD67_UMI_S180_L008_R1_001.fastq.gz
Donor_4_KLF2	AMCD68	Project_AMJW_L8_Tag0014P_Woo/AMCD68_UMI_S181_L008_R1_001.fastq.gz
Donor_4_GATA3	AMCD69	Project_AMJW_L8_Tag0014P_Woo/AMCD69_UMI_S182_L008_R1_001.fastq.gz
Donor_1_PTEN	AMCD7	Project_AMJW_L8_Tag0014P_Woo/AMCD7_UMI_S120_L008_R1_001.fastq.gz
Donor_4_ZNF217	AMCD70	Project_AMJW_L8_Tag0014P_Woo/AMCD70_UMI_S183_L008_R1_001.fastq.gz
Donor_4_PTEN	AMCD71	Project_AMJW_L8_Tag0014P_Woo/AMCD71_UMI_S184_L008_R1_001.fastq.gz
Donor_4_FOXK1	AMCD72	Project_AMJW_L8_Tag0014P_Woo/AMCD72_UMI_S185_L008_R1_001.fastq.gz
Donor_4_AAVS1_8	AMCD73	Project_AMJW_L8_Tag0014P_Woo/AMCD73_UMI_S186_L008_R1_001.fastq.gz
Donor_4_STAT5B	AMCD74	Project_AMJW_L8_Tag0014P_Woo/AMCD74_UMI_S187_L008_R1_001.fastq.gz
Donor_4_AAVS1_7	AMCD75	Project_AMJW_L8_Tag0014P_Woo/AMCD75_UMI_S188_L008_R1_001.fastq.gz
Donor_4_TNFAIP3	AMCD76	Project_AMJW_L8_Tag0014P_Woo/AMCD76_UMI_S189_L008_R1_001.fastq.gz
Donor_4_MYB	AMCD77	Project_AMJW_L8_Tag0014P_Woo/AMCD77_UMI_S190_L008_R1_001.fastq.gz
Donor_4_YY1	AMCD78	Project_AMJW_L8_Tag0014P_Woo/AMCD78_UMI_S191_L008_R1_001.fastq.gz
Donor_4_STAT5A	AMCD79	Project_AMJW_L8_Tag0014P_Woo/AMCD79_UMI_S192_L008_R1_001.fastq.gz
Donor_1_FOXK1	AMCD8	Project_AMJW_L8_Tag0014P_Woo/AMCD8_UMI_S121_L008_R1_001.fastq.gz
Donor_4_AAVS1_6	AMCD80	Project_AMJW_L8_Tag0014P_Woo/AMCD80_UMI_S193_L008_R1_001.fastq.gz
Donor_4_HIVEP2	AMCD81	Project_AMJW_L8_Tag0014P_Woo/AMCD81_UMI_S194_L008_R1_001.fastq.gz
Donor_4_IRF2	AMCD82	Project_AMJW_L8_Tag0014P_Woo/AMCD82_UMI_S195_L008_R1_001.fastq.gz
Donor_4_AAVS1_5	AMCD83	Project_AMJW_L8_Tag0014P_Woo/AMCD83_UMI_S196_L008_R1_001.fastq.gz
Donor_4_FOXP1	AMCD84	Project_AMJW_L8_Tag0014P_Woo/AMCD84_UMI_S197_L008_R1_001.fastq.gz
Donor_4_IL2RA	AMCD85	Project_AMJW_L8_Tag0014P_Woo/AMCD85_UMI_S198_L008_R1_001.fastq.gz
Donor_4_AAVS1_3	AMCD86	Project_AMJW_L8_Tag0014P_Woo/AMCD86_UMI_S199_L008_R1_001.fastq.gz
Donor_4_JAK3	AMCD87	Project_AMJW_L8_Tag0014P_Woo/AMCD87_UMI_S200_L008_R1_001.fastq.gz
Donor_4_IRF1	AMCD88	Project_AMJW_L8_Tag0014P_Woo/AMCD88_UMI_S201_L008_R1_001.fastq.gz
Donor_4_MED12	AMCD89	Project_AMJW_L8_Tag0014P_Woo/AMCD89_UMI_S202_L008_R1_001.fastq.gz
Donor_1_AAVS1_8	AMCD9	Project_AMJW_L8_Tag0014P_Woo/AMCD9_UMI_S122_L008_R1_001.fastq.gz
Donor_4_KMT2A	AMCD90	Project_AMJW_L8_Tag0014P_Woo/AMCD90_UMI_S203_L008_R1_001.fastq.gz
Donor_4_AAVS1_1	AMCD91	Project_AMJW_L8_Tag0014P_Woo/AMCD91_UMI_S204_L008_R1_001.fastq.gz
Donor_4_MBD2	AMCD92	Project_AMJW_L8_Tag0014P_Woo/AMCD92_UMI_S205_L008_R1_001.fastq.gz
Donor_4_ATXN7L3	AMCD93	Project_AMJW_L8_Tag0014P_Woo/AMCD93_UMI_S206_L008_R1_001.fastq.gz
Donor_4_ETS1	AMCD94	Project_AMJW_L8_Tag0014P_Woo/AMCD94_UMI_S207_L008_R1_001.fastq.gz
Donor_4_IRF4	AMCD95	Project_AMJW_L8_Tag0014P_Woo/AMCD95_UMI_S208_L008_R1_001.fastq.gz
Donor_4_CBFB	AMCD96	Project_AMJW_L8_Tag0014P_Woo/AMCD96_UMI_S209_L008_R1_001.fastq.gz
